Image and Tag Name,Number of unique CVEs,Low CVEs,Medium CVEs,High CVEs,Critical CVEs,Unassigned CVEs,Differing CVEs,Number of Pulls,Number of Repo Stars,Category,SubCategories,Size
bitnami/redis-cluster:6.2.14,51,33,0,1,2,0,15,140035032,50,verified,databases-and-storage/message-queues/security,48920316
bitnami/memcached:1.6.27-debian-12-r2,59,38,0,1,1,0,19,122805335,32,verified,databases-and-storage/integration-and-delivery/monitoring-and-observability,7967
newrelic/infrastructure-k8s:2.13.15-pre,65,9,26,12,0,9,9,658161351,15,verified,,223150417
newrelic/k8s-events-forwarder:build-arm,16,6,7,1,0,1,1,61823392,2,verified,,23611436
hashicorp/consul-template:0.38.0,6,2,2,1,0,0,1,148487372,30,verified,integration-and-delivery/networking/security,8665443
docker/ucp-auth:3.2.7,218,7,56,77,11,67,0,743184468,4,verified,integration-and-delivery/networking/security,11121449
rancher/local-path-provisioner:v0.0.27,20,3,8,2,0,0,7,130522931,2,verified,,17837619
hashicorp/vault:1.16.2,37,7,24,4,0,1,1,106481235,143,verified,api-management/security,140964740
portainer/agent:linux-amd64-2.20.3-alpine,32,3,12,0,1,9,7,1096229787,239,verified,integration-and-delivery/internet-of-things/monitoring-and-observability,263582823
percona/percona-xtradb-cluster-operator:1.14.0-proxysql2.5.5-1.2,140,38,44,38,5,0,15,2524718822,16,verified,,101469681
hashicorp/vault-k8s:1.4.0,19,4,7,0,0,1,7,56983377,18,verified,integration-and-delivery/security,29662193
bitnami/grafana:10-debian-12,80,44,7,2,1,0,26,68608587,34,verified,data-science/internet-of-things/monitoring-and-observability,199960698
grafana/grafana-image-renderer:3.10.5,70,36,20,9,2,1,2,231813856,25,verified,integration-and-delivery/monitoring-and-observability,396574961
rancher/mirrored-coredns-coredns:1.11.1,38,4,16,8,0,1,9,122891696,0,verified,,18175567
docker/ucp-auth:3.3.0,218,7,56,77,12,66,0,743184468,4,verified,integration-and-delivery/networking/security,11368464
circleci/python:3.9.9-buster-browsers-legacy,2529,474,1330,465,39,79,142,205659640,88,verified,,1123374245
amazon/dynamodb-local:2.2.1,68,12,28,23,0,4,1,296044594,460,verified,databases-and-storage/integration-and-delivery,239293629
atlassian/pipelines-agent:stg-beta,450,74,107,149,33,18,69,106939258,4,verified,,112999558
circleci/docker-gc:0.2.1721-branch-a92d040,2,2,0,0,0,0,0,64984966,6,verified,,3938654
hashicorp/vault:1.16.3,31,6,18,4,0,1,2,106481235,143,verified,api-management/security,137010077
circleci/mysql:5.7-oracle-ram,610,14,47,116,9,409,15,277364343,30,verified,,120942936
amazon/aws-node-termination-handler:v1.6.1-linux-arm64,133,4,39,74,7,2,7,157216923,10,verified,integration-and-delivery/monitoring-and-observability/networking,15009049
