Image and Tag Name,Number of unique CVEs,Low CVEs,Medium CVEs,High CVEs,Critical CVEs,Unassigned CVEs,Differing CVEs,Number of Pulls,Number of Repo Stars,Category,SubCategories,Size
nodered/node-red-docker:slim-v10,257,19,73,97,13,44,11,94166845,363,sponsored,,46281398
linuxserver/code-server:amd64-4.89.1,105,28,16,41,6,13,1,63409434,639,sponsored,languages-and-frameworks/integration-and-delivery/security,186510105
linuxserver/openvpn-as:version-2.9.0-5c5bd120-Ubuntu18,342,97,230,13,0,0,2,56471725,492,sponsored,,105532851
crossplane/crossplane:v1.17.0-rc.0.202.g26107bd6,3,2,1,0,0,0,0,46363672,5,sponsored,api-management/integration-and-delivery/networking,34278208
linuxserver/letsencrypt:version-1.11.0,350,25,114,146,54,9,2,400686080,596,sponsored,,89658909
linuxserver/lazylibrarian:d8b2234c-ls59,49,27,19,3,0,0,0,237657888,215,sponsored,content-management-system/integration-and-delivery,140499641
linuxserver/nginx:arm64v8-1.26.1,15,0,10,4,0,0,1,69942647,216,sponsored,api-management/security/web-servers,53042389
linuxserver/unifi-controller:amd64-8.0.24,245,41,130,62,6,6,0,338735956,790,sponsored,,351230607
redash/redash:10.0.0-beta.b49597,2261,336,1314,446,44,37,84,61364081,252,sponsored,data-science/web-analytics,475429498
fluxcd/helm-operator:1.4.0,415,26,126,138,33,83,9,1024426501,6,sponsored,integration-and-delivery/monitoring-and-observability,77247290
requarks/wiki:2.5.303,158,9,56,27,10,54,2,105395239,336,sponsored,content-management-system/integration-and-delivery/web-servers,138798107
sitespeedio/sitespeed.io:34.1.0,775,165,497,73,7,25,8,47484508,116,sponsored,integration-and-delivery/monitoring-and-observability/web-analytics,1489562655
openpolicyagent/gatekeeper:dev,5,3,2,0,0,0,0,3037069850,3,sponsored,,41718073
linuxserver/bazarr:arm64v8-1.4.3,41,6,16,3,0,16,0,457713170,430,sponsored,languages-and-frameworks/web-servers,137181256
linuxserver/swag:2.11.0,34,7,13,5,0,9,0,86870092,378,sponsored,api-management/security/web-servers,126514422
localstack/localstack:s3-latest,71,42,0,2,1,1,25,240014774,289,sponsored,api-management/databases-and-storage/integration-and-delivery,112167731
jenkins/ssh-agent:latest-jdk21,117,68,6,10,6,0,27,57752344,53,sponsored,integration-and-delivery/security,173944548
nodered/node-red-docker:v10,1963,488,535,418,69,308,145,94166845,363,sponsored,,368370186
linuxserver/sickrage:arm32v7-latest,481,23,198,197,46,15,2,41272524,144,sponsored,,113344197
jupyterhub/k8s-network-tools:3.3.7,7,1,4,0,0,1,1,103106882,2,sponsored,,3877309
joxit/docker-registry-ui:main-debian,110,56,0,1,1,0,52,50643701,140,sponsored,integration-and-delivery/monitoring-and-observability/security,70473755
itzg/minecraft-server:java8-multiarch,317,119,115,8,1,72,2,390428322,1901,sponsored,integration-and-delivery,359866767
istio/sidecar_injector:1.5.10-distroless,146,4,42,77,7,8,8,54932382,2,sponsored,monitoring-and-observability/networking/security,27934805
